model,test_subject,seed,seconds,accuracy,kappa,precision,recall,f1,predictions,validation,confusion
C1,2,0,126.9,0.3368055555555556,0.1157407407407407,0.3274276114362304,0.3368055555555556,0.32282599727098316,001011113000100130300100111213031211230310300013001002111111101100101303210130111113021013131121000003031302310030030131123113313331111131132302011003202111101203133013211000222333112333133030202330320131002113103113121012233311231100021133300000133001011033023321011310000121032113230111011211020003221003112112311322112102211331300020011000000030100102012003000110201330000000000331221013021321211103311012113103013311111002120201110133302301010320030001123030110110013112332212100031300000103003110223012033213331031233131323300130000100103331031303301320331011223313331013,0.7969,"[[58, 51, 25, 10], [34, 76, 20, 14], [27, 22, 22, 73], [62, 38, 6, 38]]"
C1,3,0,128.3,0.7395833333333334,0.6527777777777778,0.7469099605036186,0.7395833333333334,0.7318627183694826,011110110301103323300100130221010110121313213331310001231200231130201332031032101222310313133110001100111301202133120313102101232330013120111230120223001133310313033111011231003132111032302010100031030300131122121113110103030103020131201312103133023131101333131331101310233113322312213231001010130302103332201000130131000100121223223332100001231000011100201032033133101322120332113110003102010302302133330312100103102331013131111231030013003133310013023133011331033132112032131000001211130300121123223113013122030203220022131313202130013111101331111332301213302300021302123202,0.4288,"[[122, 7, 2, 13], [17, 123, 0, 4], [12, 39, 70, 23], [1, 14, 18, 111]]"
C1,4,0,182.4,0.3663194444444444,0.15509259259259256,0.43950795792901054,0.3663194444444444,0.3684928675238345,032003301232332103302232201112030023220320201122001302002033323233222032112013322332223222222201003031333022123333302122230223222132223223222323302221032233123333323232032312123322232212233322000322100201302110022003222102222222222223222220030333222122220113222223232323233222223323232222320221300300110202221322222023200202222310023222000103000103303222322322103202322222222123212322130332302232202323222133222333303222223033333023100122021222033333223223212233032321232033322322303310033232222322232232322222321122222313232323133332303223201031233232303323222213333232203222,0.3576,"[[48, 7, 71, 18], [20, 32, 69, 23], [12, 5, 64, 63], [11, 10, 56, 67]]"
C1,5,0,126.9,0.3454861111111111,0.12731481481481477,0.4393081416932064,0.3454861111111111,0.2988459294986201,211111101110100000210013130202110300011310121011310211111101111111120101111130112110111112111111110111000102112010200113101101201001110120112011211113111111311111101130111231011303111111130111111131001000111111011111111111010110111101211311111111111101111111011131011011111112112113211101110111101311111113111101110300111110101331101131110101310101111011111000112131101131101110101121111111011001212111111310111111021132111111110101031111100013110113011131111111121200110010011110111100010110131112013111011101111011111111111011013111111131111101111110000010113010103100121101,0.4583,"[[40, 97, 6, 1], [18, 119, 5, 2], [37, 81, 15, 11], [30, 84, 5, 25]]"
C1,6,0,107.2,0.3715277777777778,0.1620370370370371,0.3578597027821474,0.3715277777777778,0.3567360369562189,000023123033020232101321011002230120002301100111003302313013210020300113300100210213100210000201011303213233130021110312303313203010100011030330000323230323113233131302330303311312012203313221003213320331130130312102300310030002010102110100003001133111201102001131331011010121310010120033000010102202102232200200020012000110000101010010002000300002032100201011010020101120300010030101000003031333303302130300010203310001310002030100030232303133310333221122020222230303020031332120000320023332301032013123132020001220133031201033013031231131323231003223302203102002130313000303,0.4722,"[[88, 23, 18, 15], [46, 56, 20, 22], [37, 32, 23, 52], [47, 17, 33, 47]]"
C1,7,0,130.5,0.3888888888888889,0.18518518518518523,0.4582233753397578,0.3888888888888889,0.3773148357549891,012010112202022222112210002213002111101012212322120111021001021000302211022122001021211202213111203111111201202222210313101212201231012121111220022101112121211122131121211011113111112021021110002111020210120121213212011123020112101122331212202020011120001021331222111103321011222223322213011212111201222212211100200002222120110112112222011122222202021212201223222022122110200311122122122022212221211122212212122121222232203122121321222222201133220012122100112121022103121221102210012221220220122230102101112003022022121122211212222121121122112220111331311211223231113311112112,0.6997,"[[52, 48, 41, 3], [20, 94, 28, 2], [22, 59, 54, 9], [6, 12, 102, 24]]"
C1,8,0,150.4,0.6371527777777778,0.5162037037037037,0.6642434410448282,0.6371527777777778,0.6118287910457214,001010101302103330100100230020010110101103012233001001031000031100001331033133100200320310200100003100011301000133330003100102000001013130133110130210000132110003032133001031003100100230000000000221030200232030303003013213030033020102002300203120132130000331010330300010303300110331120001010020101300001333300100230210010110101303203333301001031000031100201330033030323122320003310020003100023302001233310013101101000311023331110030002023002021310020000132010011003100130000230010100001030300130131011112010123000023030102101300003030033132101331101031300310301000001310123103,0.6076,"[[136, 2, 4, 2], [32, 93, 9, 10], [76, 26, 32, 10], [20, 10, 8, 106]]"
C1,9,0,211.9,0.5190972222222222,0.3587962962962963,0.5898720385684593,0.5190972222222222,0.5121126026901222,311132110111331222212122111112133131311312111131100212213132112113311222223211212332033111212231131212013221110130322211232121220310131123021222111212220033112032223300220202222202032322221022211322222021121121311113113220123232122022221211111201322132010101312031013313122022211102120122111111111311103332311111330212111111121223223122221111221211031110211322132133112221321022213221112102022202112223210312212202212231102131322030120222112132201223112333120231103212222112222011111221231310132332323103121222121212121222111322112231112132111321301322312221212110222112123211,0.809,"[[37, 101, 6, 0], [7, 85, 42, 10], [7, 25, 103, 9], [3, 8, 59, 74]]"
C2,1,0,251.2,0.6788194444444444,0.5717592592592593,0.7619889362003008,0.6788194444444444,0.6440544249675024,321001311000030000101030030130000003311300023100003102020303302103330313003000303331013003011330130023001033310203033133010331003103012033333000000320230300132132323013001033030103030133301313303030033130101031111332301000303000013303003103000330332032001131333030302302011030331030103010011010131303103333302100330232010110131333323030330000031300031100300333033133001322310313133130000003031303303133230313103102302301013133011230030313003033200303033033011031003103003032033000000320330300002130333013111133030203030132301303303030032030000330000332301310303000033303233303,0.3472,"[[142, 2, 0, 0], [59, 85, 0, 0], [16, 9, 35, 84], [12, 1, 2, 129]]"
C2,2,0,126.9,0.3159722222222222,0.08796296296296291,0.3046581137909499,0.3159722222222222,0.2903889629008948,001010213100003100000000101111000300033310300233101002110101100100101203200120202103001003030121001103031302300030000030010120313031000203132300010000003011211030103013011010203333003233113030200230330301000003133023020012033310312120001033000000223002022031023123003320300102032003330000001000000002000003111100300332213222211333300220000000000000000100012003000100002230010000030321222203020321020103331002203103001321111023021211000010002100010320030001023030020120103002331223000030000000000000330123233033203230032333332333000000000000103331031002303320013002223303330313,0.8212,"[[94, 20, 22, 8], [60, 37, 27, 20], [41, 21, 17, 65], [82, 16, 12, 34]]"
C2,3,0,116.3,0.7586805555555556,0.6782407407407407,0.7724361698149336,0.7586805555555556,0.7531553443890564,001000020301103323300100130220010100121323213333201001231200231000001332031032101222110210133110001100021300202133320213102101301330003122111030120223000001310001032001011231003100110032202010000031030300032122333113011103030102020132001310103130033130101331111332101210203103023312202232000010120302103232201100000201010100121323223331000001231200010000201030033132001220120312113120003102020302202133300311100100102331013132111230000001000133310213023133011331003132112033022000000221130300121123223110013122030203020012101312203130023131101331111331201210303000022312123202,0.4097,"[[139, 1, 1, 3], [28, 115, 0, 1], [30, 18, 81, 15], [8, 13, 21, 102]]"
C2,4,0,128.0,0.3663194444444444,0.15509259259259256,0.47290764790764783,0.3663194444444444,0.3486901567901675,012100221030322102202122200122002222222020221222000222202023212210222222202013322322222222221202002012222022123332202222232223222221221222222222322202222223212023223222222322122222222222222222010322120001202210012103222202222222222222222222020223222222222223222223222222222222222223222222222101322302110222211222222022222222222212222222003102021302202222222320122202322222222222232222110302202233312223222132222331003222223232332022100122021222123233222222222223232322232222222322202020233222222321222222322212202122222312222323212332213203221031233232313323222232332222222222,0.3767,"[[39, 10, 92, 3], [14, 26, 99, 5], [7, 3, 108, 26], [8, 12, 86, 38]]"
C2,5,0,116.8,0.3159722222222222,0.08796296296296291,0.3477988329649722,0.3159722222222222,0.2505136361083024,200001101000101000012002130302100210111300102001300010012000200011001101001000112110100100101100000110000002101000000100101101200001020001010000010103101110311011101130111202001000010110000002000001001000111101001001110000000000001101000301100011010101001010031100011001100120100113001001100010100200011102011100110200010000111331011000100101010001112010101000000100001000100010001100111001011201302010001010110100010100030101000100021000000000010103012121100111101000130000011110100100000100101110011111011101001010110101010011112110111121110011111001000100110000102100000101,0.4635,"[[93, 46, 5, 0], [62, 73, 6, 3], [81, 48, 9, 6], [80, 49, 8, 7]]"
C2,6,0,110.3,0.390625,0.1875,0.44253927772154533,0.390625,0.39291118667198077,022023223222221322101232121202222122022311121111222323313133212223312113222322212212110112012211101312223332220123111212313213213311100111121322021323332323113233221302322323332323013223313221202213222331230132323202322212033102120102320111003021122111213311201231231211121131210112121123011010122222102223302100220212010212111121112111222000321202122102311212011111301120311211130112102203221333322213130302111203221211311122121122232232302333212333231132222212131302022131332121022322232333321232133121232222201122123031201133213231223131332232033222322223122132020313021222,0.4983,"[[41, 31, 58, 14], [7, 70, 47, 20], [7, 35, 62, 40], [7, 34, 51, 52]]"
C2,7,0,248.3,0.3315972222222222,0.10879629629629628,0.39589436109177484,0.3315972222222222,0.32404244268433746,012010102230002202210201002113002111102002202322110110001021021000302233122123002121201220213121210121110201000102220202201211000222212121112022021011111020220122131120211100212322122022020130102021120200220221123210011202020012021122321212100020021101002321221222102032231011202222022210012212111201202211311000000001200120100002012222010011022000020210001221222022122110210201112002123221202220202222002212220201202221022121121020220002201133200012012110112133002203020021111001002121220230120221202120112013003022121122021213212121011120112221112321301012223010212312123100,0.7396,"[[71, 36, 33, 4], [27, 67, 46, 4], [54, 51, 34, 5], [18, 9, 98, 19]]"
C2,8,0,179.9,0.6076388888888888,0.47685185185185186,0.6433556420588873,0.6076388888888888,0.5775627893319047,001000101300103333100000030000000110100003013233301001031000031100031332033030100000300313203100003100031302100133330233200302300002013030133220130000002003110203032003003030003100100230303000000200030302230030303003013033030033020002300310203020232130102331313230323000303333103310120000001020101300101333300100030230010130101323233333301001231000031320200330033030303022330203300120003300003300003233300013000101300303013333113030122020002133310023030133001033003103130332230010100021030300130331303113010223000003030102101300003120033132103331103303001310303000300310333103,0.6007,"[[130, 1, 6, 7], [35, 75, 10, 24], [83, 6, 28, 27], [15, 4, 8, 117]]"
C2,9,0,237.9,0.6493055555555556,0.5324074074074074,0.6661644904345528,0.6493055555555556,0.6504032840664898,300133100001331122202122010102133033311222110130100302313132012002311222322211022312023110210231130313012210200330330231132123020200030102023322001222220223112033123300320202222202030332231022211322222221131121311103113320023222122022201220101200321132020101303333003303122022200102123122011010111301103332301100330212011110121223223122121001231200031310201322022133002222320322223220003102022202102233200313202302202232002122302030010222002232200223132323013222103202222032222011100221131200132332323113022223131202020122112332102230112332001322301322202221213010222312122211,0.783,"[[110, 29, 4, 1], [13, 72, 40, 19], [11, 18, 106, 9], [2, 5, 51, 86]]"
C3,1,0,278.9,0.7204861111111112,0.6273148148148149,0.7473563022907163,0.720486111111111,0.7048969099061407,321001311200010000201030030133000013311300023101003102020302302103320313003102303331013101111330130023001033310203033132010031003103012033333010000320230300132132323013001033230203030131301313203030023130101031111332301000303000012302003102100330332032001131333030302302011030331030102010011010131303103333302100330232010110131013223030231000031300031100202333032131001322310313133130000003021303303132220313112102302331013132111200030212001033210203031033011021003102003032033000010321330300001130332113111123031203030132301313203030032130101330011332301310303000003313233303,0.3281,"[[136, 7, 1, 0], [42, 101, 1, 0], [16, 14, 57, 57], [11, 3, 9, 121]]"
C3,2,0,122.7,0.3177083333333333,0.09027777777777779,0.30725509675862495,0.3177083333333333,0.3056522842075637,101010213100103100202000111111001300033310320233101002112102100100101203200120202113002003130121001103031302320030030230210121323331000213132302010030002111211033111222011010203333023233113030200230330121003003133023020012022310322120001033010000223202022232223123003320300112032103330021011020001002200001111102312332213222211333300222022000002000000100012003000102002230010000030321222223020321021103331002203103001321111023121212010010002101010320032001123230020220113002331223000030000000003002330123233033203230032333332323000030000000103331032302303320313002223303330313,0.8056,"[[82, 21, 34, 7], [43, 41, 41, 19], [27, 25, 25, 67], [65, 24, 20, 35]]"
C3,3,0,119.6,0.7621527777777778,0.6828703703703703,0.7838341413982901,0.7621527777777778,0.7608314129199083,000000020301103323300100030220010100121323223333200001231200230000001332031032101222320210133110002100021302202133320213102102301330003122111030120223000023310002022001011231003102110032202010000031030300032122333113032103030202020132001330003130033130101331131332101210203103023312202232000010120302003232201000000201000000121323223333000001231200020000201030033132001220120212123120003102020302202133300313100100102331013132111230000000000033310213023133011331003132112033222000000221030300121123223110013122030203020022301312203130023131101331111332201210303000022312223202,0.4062,"[[139, 1, 1, 3], [36, 103, 1, 4], [30, 7, 92, 15], [8, 4, 27, 105]]"
C3,4,0,256.8,0.4236111111111111,0.2314814814814815,0.4636984449250609,0.4236111111111111,0.4276608335504217,010100201030001102301101300122000023220020021002000212000023010010220022102013332322222213221002000011201002123332301102232323222230221023222222322200033233013003223222033312110202212212132122010310000000002210002103202002222222222122222220000023022123220313221223222323223322212023323222120100001300000100201222223001222202222210023222000102001300002232222300103202323211222123202222100003000133300323022133202331003112223032332012100121021001133233222203212233032321232222322322202020033222222321112200302212203122222313222323213332313003200031233230303323222132331030202122,0.3594,"[[75, 12, 54, 3], [34, 47, 53, 10], [31, 7, 66, 40], [20, 15, 53, 56]]"
C3,5,0,157.2,0.3541666666666667,0.13888888888888884,0.36972215950604737,0.3541666666666667,0.3469395704161123,200111101102103332322203132302210310111312102011310212212110221013231101011103112112102102211121121111100203202331200223121102203002120021010022211113101211311213101330111322001032112110101002220221021001111111321013110013000112101131320321100111210121001013032131011221113122202113211201111010131310111132111103112333010230311332111132112101310001113011131200002101031231121012301122221001011201313120231311111101022222030102032110031122110023111113012131102223131302130001211113111110001310131112023111211113001032121132210013112110122231120011111113300302110010122122221103,0.4809,"[[48, 61, 25, 10], [30, 78, 22, 14], [22, 55, 44, 23], [27, 54, 29, 34]]"
C3,6,0,143.4,0.4375,0.25,0.464926593803078,0.4375,0.43935143251613884,022023123202221322101211121202220120022311121111202303313133210023312113222021212212110110010211101312213332100121111212311213213310100111121320001323330323113233121302320323332323013213313021202213222331230132313102302010033102110102320111003021122111211311201131031211111131210112121123011010122202102223302100220112010110111101112111212000321001022102311211011111101120311111130111102203221333302213130302111113211211311122121120220232302133210333231132022212131302012131332121022322222333321132133121122122201122133001201133213231123131332232033222301223122131021313011222,0.5278,"[[64, 38, 29, 13], [7, 86, 34, 17], [12, 44, 52, 36], [10, 37, 47, 50]]"
C3,7,0,314.5,0.4652777777777778,0.2870370370370371,0.47655787099101965,0.4652777777777778,0.4701950422376766,012010102330003333213220032213002111103022233332112110001321031000302333022133001121231222223121203121310201300133320213203212303331213031113232021022111020230122132133111222223322122032022130000231330300220131233212011223030012231122331312103020021121002331331222202331333011123222032313012212111201203303311200300001020120100002012322010011220000020110201222132022021030310300132022023222202320203222000212120303302231023131123330220002201133220012032133112133003203032022113011000231220230122230232120112023033022120133301213212221213120112331113331301012323012313312113303,0.7066,"[[77, 33, 27, 7], [24, 70, 37, 13], [32, 30, 44, 38], [7, 1, 59, 77]]"
C3,8,0,220.8,0.640625,0.5208333333333333,0.655602904040404,0.640625,0.6218766958350292,001000101303103333100100230020020110120103013233303001031000031100031332033033100220320313223110003102021302100133330233200302300002013130133220130200002033110203032203003031003100102233323000000220030302230030313003013033030033020002300310203020232130102331313230323000303333113312122000011020101300101333300100230210010130301323223333301001231000231320200330033030303022330213321120003301023302003233330313000101300303013333113030122020002133210023030133021033003103130322230010100021030300131331303113010223000023033102101300003120033132103331303323001310303000300310333103,0.6146,"[[127, 1, 8, 8], [27, 77, 13, 27], [57, 13, 47, 27], [9, 5, 12, 118]]"
C3,9,0,295.2,0.6649305555555556,0.5532407407407407,0.662501245181089,0.6649305555555556,0.6575720482291939,300033100001331122202122010102133033311222110130100303313130012002310223222211002332033110200231130313012210100330330230132323020200030102013333001213230233112033003300320202223202030332231002211332222011131120311103103320023223123002201220000200320132030101303333003303102022300102333022011010111301103333301100330212010110121023223122121001231200031300201322032133002201320322103220003103022302100333200313202302202230002120303030010222002032200203132323003222003202202032220010100020130200032332303103022223130203020122112332102230112332001322301321202220213000022312323211,0.7778,"[[128, 14, 1, 1], [25, 68, 25, 26], [24, 17, 88, 15], [2, 5, 38, 99]]"
C5,1,0,556.4,0.71875,0.625,0.7708573321425434,0.71875,0.6950420866020828,321001211200030100101030033133100013311302023121003102020303302103330313003102303331013003011330130023003133310203033133010331003103012033333000000320230300132132323013001133030103030131301303303130033130101331111332301200303000012303203103010332332032011131333030302302011030331030103010011010131303103333303100330233010110131333223330231000031300030100200333033133001332310313133130000003031303303133220313133102302331013132111330030333002033200303033033011021003103013032033000000320330300032130333113111123031303030132301313203030022030000320000332301310303000033313233303,0.3247,"[[139, 4, 0, 1], [48, 96, 0, 0], [8, 9, 47, 80], [5, 2, 5, 132]]"
C5,2,0,419.4,0.3125,0.08333333333333337,0.3001142665901702,0.3125,0.2999366435176046,001013213100103100200000111311001311330330301233031002311302100100101303200330102113012003131121001103031302300230031320110123313331001233132003010033003011201023131023021000211333123233133030200330330331003003333123022010033311233120011333100003033002022232223123003331000112032113230311111030100001000001112112300332233222211333300222011000000030000100013003000100001330010000030321221213021321021103311021133123201331111012121211000030302300010320030003023230110123223102332223100030000000103003333223333033213331033333132323000230000100003331031003303320331011223303330323,0.8576,"[[72, 32, 22, 18], [38, 47, 36, 23], [25, 21, 17, 81], [65, 26, 9, 44]]"
C5,3,0,385.2,0.796875,0.7291666666666667,0.7957507581858277,0.796875,0.7908444685965283,011000120301103323301100130221010110121323223333201001231200231100201332031032101222310210133110001100111300202133320213102103302330003122111230120223001133310213032101011231003132112032312010000031030300030122233113011103030102020131201313103130023131101331111332101210303113322312212102000010120302103232201100120231010100121323223233001001231200011100201031033132101222120312113110003102020302302133320312103103102331013132111230000003001133310113023133011331003132112031032010000221130300121122223113011122030203020022301312203130023131101331111332201210303000022312123201,0.4774,"[[136, 3, 1, 4], [15, 129, 0, 0], [12, 28, 85, 19], [4, 6, 25, 109]]"
C5,4,0,487.5,0.4079861111111111,0.21064814814814814,0.47299005567334995,0.40798611111111116,0.40884011030653766,000100203030022003202332301112000023222020220102001222203023313233222222102013322322222213221302001011222022123332201222232223222231221223222222322203033233023033223332033322133233322212132122010312120001002210012303202002322222222232222230030323222223221313222223222322223222212223232222222210310300010222201222222022122202222312133222000102021103003232222120102202323222222223232322010303002233302323222133222331003222223233333023100121031002023333223203222233232323232223322322203020033222222332112232322212302122222313233323233332303003221031333230303323222202333132202222,0.3681,"[[54, 10, 69, 11], [22, 35, 74, 13], [12, 5, 76, 51], [15, 8, 51, 70]]"
C5,5,0,412.9,0.3333333333333333,0.11111111111111116,0.40762552468845836,0.3333333333333333,0.273971232698726,210001101100101000210112130202010310011210101011311010111101101011001101001100112110101112110110111111110002101000210110101101110001120111010011111103111110311111111130111221001002110110100010101101001011111111001111111110000100111101000301111111010121101010031101011111113110112113011111100010111210111102011100111200010110111330111020110101311001112011111000012101101101101110201121111001111201212111001011111101111101130101110110031100110010111113011121110111101201120000011110110010000100101110011111011111001010111111110011112101111131111111111113300100110010102101111101,0.5087,"[[61, 81, 2, 0], [28, 107, 6, 3], [41, 85, 13, 5], [54, 68, 11, 11]]"
C5,6,0,335.8,0.4340277777777778,0.24537037037037035,0.4624450677221257,0.4340277777777778,0.4395956149992149,022033223032221322101322121202222120122313121111223323313133210223312213322122112212110210110211003313223332200122111213312313222211100111123332021323330323113033231302320323331323013223303021303213232321230132313202322210033222120103330311003000133111233312201121031311121231210012122023011020122222102333202100220212010212111321012121212000321202022102311212012020301120311211130113102203222332303313130303010103331211311122131332332233203233310333232132031233331303222121333120022332333333331232023132133122221122123031301133213231133231333332003333301323323102320313000223,0.5625,"[[60, 28, 35, 21], [11, 68, 38, 27], [11, 26, 52, 55], [8, 23, 43, 70]]"
C5,7,0,609.0,0.3802083333333333,0.17361111111111116,0.44214332657458333,0.38020833333333337,0.3805676862643245,012010202202003203210200002113002111101002203322210120021021031000202231022123001121211200213121212111110201300002210302101211202322213121112220031011111122201122131120111023212310122022020120000031020200220030103210011222020002101102231212102020001121001331331220101001331011212222022212012212111200202211310000000000022120100012012322010011120102020110201221122022022010210310102122123222212221213221200212220201202232003121021021221002001133220012012130112131002103010021111010000121220230121230202110102013031022121102001213212121111120112221111331301012023110312312113100,0.7552,"[[74, 44, 22, 4], [31, 75, 34, 4], [54, 51, 33, 6], [11, 8, 88, 37]]"
C5,8,0,446.2,0.6354166666666666,0.5138888888888888,0.6687662694680023,0.6354166666666666,0.6052082818731082,011010101300103333100000230003000110120003013233301001031000031100031332033033100200320313103110003100011301100133330233000302300000033130133230130000000033110003030103001031003100100230323010000200030200230030303003013033030033020002300300203020132130102331313330320000303300103310022000011020101300101333300100030230010130301323233333301001231000031120200330033030303033330003310100003300023300001233300313000101200301013332113030122020002023310023030133010031003100130012230010100021030300130331303112010323000003010102201300003120033133103331103300001010303000000310323100,0.6302,"[[135, 2, 4, 3], [33, 83, 5, 23], [83, 11, 30, 20], [12, 4, 10, 118]]"
C5,9,0,520.7,0.65625,0.5416666666666667,0.6685905401099025,0.65625,0.6597033729846894,300131100001331122212122011102133033311212110130100302313130012112311233221211112332023111210231130313013210100130330231132123020200030102013321001323220233112030121300120202223202030332211022311312222011131121311103113321123332123022201220101200321132020101303333003313122022300103123122011010111311103333301100330212111111121223323133121001221200031110211322032133002222321022213220103102021302100333200313202102202231102122302030010222012233200203132333003232103212222032222011100221131200132332323103022222131213120122111332103031112032011331321321302221213110222112123211,0.7917,"[[90, 50, 3, 1], [15, 87, 27, 15], [14, 21, 98, 11], [3, 8, 30, 103]]"
